	Unnamed: 0	Unnamed: 0.1	catégorie	salaire	dépenses	patrimoine	Indicateur 1	Indicateur 2	Indicateur 3
0	0	0	cadre	39310.7801847112	38172.14491519721	369553.7099873985	0	0	0
1	1	1	cadre	38360.46318441806	34425.419334498816	399379.8788070915	0	0	0
2	2	2	cadre	39313.959224432976	36782.24192741845	405012.29675371264	0	0	0
3	3	3	cadre	44354.69642582032	42203.1407865023	388693.87313783716	0	0	0
4	4	4	cadre	35995.84075451442	39415.447177404436	378220.54687398096	0	0	1
5	5	5	cadre	41276.08585125212	38596.71433138727	382041.56893847045	0	0	0
6	6	6	cadre	39133.70681698767	40248.552254887814	377996.3212043285	0	0	1
7	7	7	cadre	41334.357560444194	36595.45054975984	381829.2889059381	0	0	0
8	8	8	cadre	40413.94868705996	39300.60750676804	388202.07444023155	0	0	0
9	9	9	cadre	41457.791358379625	31520.292276126907	392940.9658273472	0	0	0
10	10	10	cadre	44005.60698090631	36996.406644891154	382939.20577311696	0	0	0
11	11	11	cadre	48414.6254500711	40421.77289606924	409713.75176141853	0	0	0
12	12	12	cadre	37797.948989491255	32724.964859190215	391220.5648644188	0	0	0
13	13	13	cadre	45228.130351349864	38512.191357215335	409523.87971893756	0	0	0
14	14	14	cadre	47443.15270190839	41759.137090360506	369789.04980063107	0	0	0
15	15	15	cadre	49084.6142768795	45373.87945096555	391532.312497689	0	0	0
16	16	16	cadre	45241.184004042734	45408.549875161065	383577.41441693204	0	0	0
17	17	17	cadre	37193.534729772386	38466.49144306813	404949.9275085295	0	0	0
18	18	18	cadre	42520.07208751855	42918.06630144332	396821.96914659615	0	0	0
19	19	19	cadre	41211.64485106925	40224.375893380304	379842.35481888655	0	0	0
20	20	20	cadre	49420.62032465398	46002.14480653744	360074.07144704193	0	0	0
21	21	21	cadre	45269.110046121474	46770.313776657684	378048.99674330093	0	0	1
22	22	22	cadre	39848.52081055493	36390.530466708	411109.21280150797	0	0	0
23	23	23	cadre	41922.43715389422	41669.65668404189	381285.6479593995	0	0	0
24	24	24	cadre	37923.95201707356	40303.11657972162	383079.57064993546	0	0	0
25	25	25	cadre	38150.54657744103	38030.660478759186	408025.0831497277	0	0	0
26	26	26	cadre	42335.16665284551	41646.05109007844	376508.78457985393	0	0	0
27	27	27	cadre	34278.927679873486	34860.28835783706	404860.9753797654	0	0	0
28	28	28	cadre	48464.11775525097	47969.568343645966	398814.15734114073	0	0	0
29	29	29	cadre	39373.0642135431	40744.134019986785	369063.15505576937	0	1	1
30	30	30	cadre	35248.09890633589	34334.50552834534	397859.90878477664	0	0	0
31	31	31	cadre	41383.497129731695	38573.052419246036	400777.54134397756	0	0	0
32	32	32	cadre	48521.17876929175	41104.92583894893	402812.9080856814	0	0	0
33	33	33	cadre	37359.82056008719	36177.49687644997	377285.2973144672	0	0	0
34	34	34	cadre	37565.54100543658	35607.297693227854	375698.78310511867	0	0	0
