	Epoch	Indicateur	Temps	Accuracy
0	0	1	0.010063886642456055	0.0494137353
1	0	2	0.0004119873046875	0.9798994975
2	0	3	0.0004000663757324219	0.9654941374
3	0	4	0.00040602684020996094	0.9675041876
4	1	1	4.641599893569946	0.9505862647
5	1	2	4.647794008255005	0.9798994975
6	1	3	4.645535945892334	0.9654941374
7	1	4	4.607897996902466	0.9675041876
8	2	1	9.685121059417725	0.9505862647
9	2	2	9.33343505859375	0.9798994975
10	2	3	9.32419490814209	0.9654941374
11	2	4	9.348289966583252	0.9675041876
12	3	1	16.156679391860962	0.9505862647
13	3	2	14.067470073699951	0.9798994975
14	3	3	14.011619091033936	0.9654941374
15	3	4	14.048655033111572	0.9675041876
16	4	1	19.011994123458862	0.9505862647
17	4	2	18.77624201774597	0.9798994975
18	4	3	19.356611013412476	0.9654941374
19	4	4	18.740597009658813	0.9671691792
20	5	1	24.15947127342224	0.9505862647
21	5	2	25.03924584388733	0.9798994975
22	5	3	24.18643093109131	0.9654941374
23	5	4	23.606964826583862	0.9675041876
